universe,self_only,ctype,k,sigma,seed,clean_IC,clean_RankIC,dP
csi300,False,missing,0.1,2.0,1,0.06564402052227562,0.06815568224519437,0.021112055
csi300,False,missing,0.1,2.0,2,0.06610301689663302,0.06887579363780723,0.021274911
csi300,False,missing,0.1,2.0,3,0.0658073462601837,0.06927397598727274,0.021624554
csi300,False,missing,0.1,2.0,4,0.06892191871306073,0.07354808990118458,0.020331798
csi300,False,missing,0.2,2.0,0,0.063429335257222,0.0677377988198234,0.03889598
csi300,False,missing,0.2,2.0,1,0.06733883968746364,0.07012100377963101,0.037802983
csi300,False,missing,0.2,2.0,2,0.06265888311104992,0.06621505904081806,0.037865814
csi300,False,missing,0.2,2.0,3,0.06408473860466982,0.06697126630928216,0.036662217
csi300,False,missing,0.2,2.0,4,0.0695612171489199,0.07368590120162302,0.035808608
csi300,False,missing,0.4,2.0,0,0.06348750076087643,0.06959089686613794,0.0692125
csi300,False,missing,0.4,2.0,1,0.06071418842892784,0.06533567000617127,0.068171404
csi300,False,missing,0.4,2.0,2,0.061181506226482614,0.06389728366213376,0.069877535
csi300,False,missing,0.4,2.0,3,0.05960078167285544,0.06484928122803475,0.06727637
csi300,False,missing,0.4,2.0,4,0.0731463687669206,0.07586551976761624,0.064897686
csi300,True,gaussian,0.0,2.0,0,-0.011409175548460678,-0.003541363749586211,0.0
csi300,True,gaussian,0.0,2.0,1,-0.011409175548460678,-0.003541363749586211,0.0
csi300,True,gaussian,0.0,2.0,2,-0.011409175548460678,-0.003541363749586211,0.0
csi300,True,gaussian,0.0,2.0,3,-0.011409175548460678,-0.003541363749586211,0.0
csi300,True,gaussian,0.0,2.0,4,-0.011409175548460678,-0.003541363749586211,0.0
csi300,True,gaussian,0.05,2.0,0,-0.010739066168513443,-0.0033119940315088224,0.0
csi300,True,gaussian,0.05,2.0,1,-0.009630212559951926,-0.0021147683640510306,0.0
csi300,True,gaussian,0.05,2.0,2,-0.010511969111059876,-0.002678475932063833,0.0
csi300,True,gaussian,0.05,2.0,3,-0.012206538349629566,-0.0037077149719111045,0.0
csi300,True,gaussian,0.05,2.0,4,-0.011049761932783318,-0.003131624834460042,0.0
